sensor_index,name,timestamp,pm1_0,pm2_5
189455,CHIPINQUE CAV,2026-09-08T16:06:05.322148+00:00,17.5,28.4
189469,Hospital Zambran Hellion TecSalud,2026-09-08T16:06:05.322148+00:00,19.3,30.2
208785,Colegio Cambridge de Monterrey Campus Anáhuac,2026-09-08T16:06:05.322148+00:00,26.4,34.3
209147,Rincon de San Jeronimo,2026-09-08T16:06:05.322148+00:00,19.2,29.5
227879,Rectoria,2026-09-08T16:06:05.322148+00:00,24.8,33.7
227887,Sensor_Purple_Air-Explanada_EGP-Entrada_Prin,2026-09-08T16:06:05.322148+00:00,13.7,16.9
227889,Parque central,2026-09-08T16:06:05.322148+00:00,21.4,28.2
227907,Estacionamiento Alumnos,2026-09-08T16:06:05.322148+00:00,23.7,31.3
227913,EGADE-Sombrillas,2026-09-08T16:06:05.322148+00:00,20.9,29.9
228003,EGL-Jardín Robótica,2026-09-08T16:06:05.322148+00:00,26.1,36.8
228001,C-MTY Explanada 2,2026-09-08T16:06:05.322148+00:00,29.0,41.0
228383,Estadio Banorte,2026-09-08T16:06:05.322148+00:00,27.3,37.1
228381,C-MTY RAMPA CAFETERÍA,2026-09-08T16:06:05.322148+00:00,21.4,29.6
228389,PEGS-Sensor-Canchas,2026-09-08T16:06:05.322148+00:00,23.2,31.4
228407,CEDES,2026-09-08T16:06:05.322148+00:00,22.1,28.3
278863,Rio Balsas,2026-09-08T16:12:31.491389+00:00,20.5,27.7
278869,Veredalta,2026-09-08T16:12:31.491389+00:00,19.2,25.0
278871,Parroquia Reina de Los Ángeles,2026-09-08T16:12:31.491389+00:00,13.3,21.0
278875,Secretaría de Relaciones Exteriores,2026-09-08T16:12:31.491389+00:00,21.8,31.0
278883,Mater International Institute,2026-09-08T16:12:31.491389+00:00,17.9,22.8
278889,Chipinque Meseta,2026-09-08T16:12:31.491389+00:00,20.4,30.6
278901,OFICINAS SAN PEDRO PARQUES,2026-09-08T16:12:31.491389+00:00,19.4,24.5
278919,Residencia Tabachín,2026-09-08T16:12:31.491389+00:00,16.9,24.3
278929,Rio Caura,2026-09-08T16:12:31.491389+00:00,20.5,28.1
278931,Residencia Platon,2026-09-08T16:12:31.491389+00:00,18.8,24.3
278937,Residencia Saqqara,2026-09-08T16:12:31.491389+00:00,22.3,29.8
278939,Residencia Rio Rosas,2026-09-08T16:12:31.491389+00:00,20.4,26.9
278951,Parque El Capitán,2026-09-08T16:12:31.491389+00:00,20.8,27.7
278957,Los Pinos,2026-09-08T16:12:31.491389+00:00,16.2,22.9
278959,Colegio Nobel,2026-09-08T16:12:31.491389+00:00,19.3,28.7
278955,Residencia San Mateo,2026-09-08T16:12:31.491389+00:00,19.8,26.5
279836,San Roberto International School San Agustin,2026-09-08T16:12:31.491389+00:00,20.3,27.5
279834,Colegio Ingles Campus Encino,2026-09-08T16:12:31.491389+00:00,21.0,28.7
279854,Pinos,2026-09-08T16:12:31.491389+00:00,17.3,19.7
279866,Lomas del Campestre,2026-09-08T16:12:31.491389+00:00,19.7,25.6
279890,María Desatadora de Nudos,2026-09-08T16:12:31.491389+00:00,20.7,28.2
279926,Parque Mississippi,2026-09-08T16:12:31.491389+00:00,19.8,24.5
280524,Privada Paso de la Sierra,2026-09-08T16:12:31.491389+00:00,17.5,21.1
280520,Irish International School Campus First School,2026-09-08T16:12:31.491389+00:00,21.3,28.0
280532,Museo La Milarca,2026-09-08T16:12:31.491389+00:00,20.6,26.5
280534,Residencia Savotino,2026-09-08T16:12:31.491389+00:00,21.8,28.7
280644,Residencia nogal,2026-09-08T16:12:31.491389+00:00,20.2,27.9
280900,Rio Necaxa,2026-09-08T16:12:31.491389+00:00,20.5,27.8
280902,Residencia Rio Pesqueria,2026-09-08T16:12:31.491389+00:00,21.2,27.8
284960,Esquina Barranquilla y Patagonia (Altavista),2026-09-08T16:12:31.491389+00:00,24.4,32.7
286238,Oasis,2026-09-08T16:12:31.491389+00:00,18.8,22.6
286240,Casa Naranjos,2026-09-08T16:12:31.491389+00:00,22.2,28.8
288064,Terminal,2026-09-08T16:12:31.491389+00:00,28.7,38.4
288066,Hospital de San Vicente,2026-09-08T16:12:31.491389+00:00,25.8,34.0
288332,Facultad de Salud Pública y Nutrición,2026-09-08T16:12:31.491389+00:00,22.6,30.4
292893,TEC-AMM-RB-005,2026-09-08T16:12:31.491389+00:00,28.5,39.1
292895,TEC-AMM-RD-004,2026-09-08T16:12:31.491389+00:00,26.9,36.7
292889,TEC-AMM-RB-003,2026-09-08T16:12:31.491389+00:00,28.0,38.4
292891,TEC-AMM-RC-004,2026-09-08T16:12:31.491389+00:00,27.4,36.3
292901,TEC-AMM-RF-004,2026-09-08T16:12:31.491389+00:00,23.0,28.9
292897,TEC-AMM-RF-005,2026-09-08T16:12:31.491389+00:00,24.5,32.7
292905,TEC-AMM-RC-006,2026-09-08T16:12:31.491389+00:00,27.4,35.0
292941,TEC-AMM-RD-005,2026-09-08T16:12:31.491389+00:00,8.8,11.6
292943,TEC-AMM-RC-005,2026-09-08T16:12:31.491389+00:00,25.9,33.5
292939,TEC-AMM-RA-001,2026-09-08T16:12:31.491389+00:00,19.8,27.4
292949,TEC-AMM-RA-003,2026-09-08T16:12:31.491389+00:00,19.9,25.2
292951,TEC-AMM-RB-004,2026-09-08T16:12:31.491389+00:00,21.3,29.5
292947,TEC-AMM-RA-004,2026-09-08T16:12:31.491389+00:00,24.8,33.2
292957,TEC-AMM-RC-008,2026-09-08T16:12:31.491389+00:00,22.2,29.7
292973,TEC-AMM-RC-003,2026-09-08T16:12:31.491389+00:00,27.5,37.6
292983,TEC-AMM-RC-007,2026-09-08T16:12:31.491389+00:00,17.7,24.9
292997,TEC-AMM-RF-004,2026-09-08T16:12:31.491389+00:00,25.9,34.5
292999,TEC-AMM-RE-002,2026-09-08T16:12:31.491389+00:00,24.9,32.5
293001,TEC-AMM-RF-006,2026-09-08T16:12:31.491389+00:00,19.1,23.7
293003,TEC-AMM-RB-006,2026-09-08T16:12:31.491389+00:00,26.6,35.6
293469,Leon Ortigosa ABP,2026-09-08T16:12:31.491389+00:00,21.7,29.5
293465,Loma Larga,2026-09-08T16:12:31.491389+00:00,22.1,31.3
293467,UMF37,2026-09-08T16:12:31.491389+00:00,22.2,30.3
33027,Lagos del Bosque,2026-09-08T16:12:31.491389+00:00,12.3,19.5
33117,Liceo de Monterrey,2026-09-08T16:12:31.491389+00:00,22.6,35.0
34441,Callejon de los Ayala,2026-09-08T16:12:31.491389+00:00,3.6,6.4
34499,San Patricio #106,2026-09-08T16:12:31.491389+00:00,0.0,0.0
34511,Rosario,2026-09-08T16:12:31.491389+00:00,13.7,21.7
38663,Rayon Norte,2026-09-08T16:12:31.491389+00:00,14.2,19.1
42211,RF,2026-09-08T16:12:31.491389+00:00,11.3,15.2
305140,Bicla,2026-09-08T16:12:31.491389+00:00,23.6,33.3
305164,NuevaMaderoDave,2026-09-08T16:12:31.491389+00:00,26.0,35.6
305192,11a avenida cumbres 1 sector,2026-09-08T16:12:31.491389+00:00,23.1,31.1
305232,PurpleAir Ancira Mty,2026-09-08T16:12:31.491389+00:00,26.3,35.6
43627,Liceo de Monterrey Rosemont,2026-09-08T16:12:31.491389+00:00,23.6,24.7
45769,Huascaran,2026-09-08T16:12:31.491389+00:00,18.6,25.8
308956,Jardín de las carreras,2026-09-08T16:12:31.491389+00:00,23.5,32.1
49949,El Horizonte,2026-09-08T16:12:31.491389+00:00,21.2,32.7
50555,Treviño,2026-09-08T16:12:31.491389+00:00,0.0,0.0
50871,TEC Garza Laguera,2026-09-08T16:12:31.491389+00:00,11.8,17.2
321194,Ramsesgs,2026-09-08T16:12:31.491389+00:00,23.9,33.2
119937,Grupo Reforma Cumbres,2026-09-08T16:12:31.491389+00:00,7.0,16.7
119965,Grupo Reforma El Norte,2026-09-08T16:12:31.491389+00:00,16.8,23.7
121825,Grupo Reforma Sierra Madre,2026-09-08T16:12:31.491389+00:00,3324.7,3324.7
136522,Bosques de La Pastora,2026-09-08T16:12:31.491389+00:00,19.6,30.7
147010,Santa Barbara,2026-09-08T16:12:31.491389+00:00,13.6,19.3
174781,Colegio Cambridge de Monterrey Campus Mitras,2026-09-08T16:12:31.491389+00:00,20.6,25.6
174787,Colegio Cambridge de Monterrey Campus Norte,2026-09-08T16:12:31.491389+00:00,24.2,30.0
189431,BEA,2026-09-08T16:12:31.491389+00:00,18.5,26.8
189435,Olinalá,2026-09-08T16:12:31.491389+00:00,19.0,29.8
189447,Río Amazonas NO,2026-09-08T16:12:31.491389+00:00,20.4,29.9
189455,CHIPINQUE CAV,2026-09-08T16:12:31.491389+00:00,17.1,28.2
189469,Hospital Zambran Hellion TecSalud,2026-09-08T16:12:31.491389+00:00,18.3,28.3
208785,Colegio Cambridge de Monterrey Campus Anáhuac,2026-09-08T16:12:31.491389+00:00,26.2,33.7
209147,Rincon de San Jeronimo,2026-09-08T16:12:31.491389+00:00,19.0,29.0
227879,Rectoria,2026-09-08T16:12:31.491389+00:00,22.8,30.6
227887,Sensor_Purple_Air-Explanada_EGP-Entrada_Prin,2026-09-08T16:12:31.491389+00:00,13.7,16.9
227889,Parque central,2026-09-08T16:12:31.491389+00:00,22.5,29.1
227907,Estacionamiento Alumnos,2026-09-08T16:12:31.491389+00:00,23.5,32.0
227913,EGADE-Sombrillas,2026-09-08T16:12:31.491389+00:00,22.6,31.6
228003,EGL-Jardín Robótica,2026-09-08T16:12:31.491389+00:00,24.9,34.8
228001,C-MTY Explanada 2,2026-09-08T16:12:31.491389+00:00,29.0,40.9
228383,Estadio Banorte,2026-09-08T16:12:31.491389+00:00,28.8,39.0
228381,C-MTY RAMPA CAFETERÍA,2026-09-08T16:12:31.491389+00:00,23.1,32.7
228389,PEGS-Sensor-Canchas,2026-09-08T16:12:31.491389+00:00,23.5,31.5
228407,CEDES,2026-09-08T16:12:31.491389+00:00,19.3,23.4
278863,Rio Balsas,2026-09-08T16:20:41.223990+00:00,20.4,26.8
278869,Veredalta,2026-09-08T16:20:41.223990+00:00,21.1,28.2
278871,Parroquia Reina de Los Ángeles,2026-09-08T16:20:41.223990+00:00,13.3,21.0
278875,Secretaría de Relaciones Exteriores,2026-09-08T16:20:41.223990+00:00,21.6,30.7
278883,Mater International Institute,2026-09-08T16:20:41.223990+00:00,18.7,24.7
278889,Chipinque Meseta,2026-09-08T16:20:41.223990+00:00,20.6,31.8
278901,OFICINAS SAN PEDRO PARQUES,2026-09-08T16:20:41.223990+00:00,19.9,26.2
278919,Residencia Tabachín,2026-09-08T16:20:41.223990+00:00,16.9,23.7
278929,Rio Caura,2026-09-08T16:20:41.223990+00:00,19.9,28.1
278931,Residencia Platon,2026-09-08T16:20:41.223990+00:00,19.1,25.6
278937,Residencia Saqqara,2026-09-08T16:20:41.223990+00:00,20.2,26.5
278939,Residencia Rio Rosas,2026-09-08T16:20:41.223990+00:00,22.0,29.7
278951,Parque El Capitán,2026-09-08T16:20:41.223990+00:00,21.0,27.3
278957,Los Pinos,2026-09-08T16:20:41.223990+00:00,16.8,24.3
278959,Colegio Nobel,2026-09-08T16:20:41.223990+00:00,18.3,24.8
278955,Residencia San Mateo,2026-09-08T16:20:41.223990+00:00,19.8,26.5
279836,San Roberto International School San Agustin,2026-09-08T16:20:41.223990+00:00,20.6,28.0
279834,Colegio Ingles Campus Encino,2026-09-08T16:20:41.223990+00:00,21.0,28.7
279854,Pinos,2026-09-08T16:20:41.223990+00:00,16.2,18.1
279866,Lomas del Campestre,2026-09-08T16:20:41.223990+00:00,21.4,29.2
279890,María Desatadora de Nudos,2026-09-08T16:20:41.223990+00:00,20.9,28.4
279926,Parque Mississippi,2026-09-08T16:20:41.223990+00:00,21.2,27.2
280524,Privada Paso de la Sierra,2026-09-08T16:20:41.223990+00:00,18.1,22.0
280520,Irish International School Campus First School,2026-09-08T16:20:41.223990+00:00,21.5,27.9
280532,Museo La Milarca,2026-09-08T16:20:41.223990+00:00,21.5,27.2
280534,Residencia Savotino,2026-09-08T16:20:41.223990+00:00,22.0,29.3
280644,Residencia nogal,2026-09-08T16:20:41.223990+00:00,20.3,28.5
280900,Rio Necaxa,2026-09-08T16:20:41.223990+00:00,21.9,29.0
280902,Residencia Rio Pesqueria,2026-09-08T16:20:41.223990+00:00,21.5,28.3
284960,Esquina Barranquilla y Patagonia (Altavista),2026-09-08T16:20:41.223990+00:00,24.1,32.1
286238,Oasis,2026-09-08T16:20:41.223990+00:00,20.1,24.3
286240,Casa Naranjos,2026-09-08T16:20:41.223990+00:00,23.1,30.6
288064,Terminal,2026-09-08T16:20:41.223990+00:00,26.8,36.0
288066,Hospital de San Vicente,2026-09-08T16:20:41.223990+00:00,25.4,33.1
288332,Facultad de Salud Pública y Nutrición,2026-09-08T16:20:41.223990+00:00,22.5,30.4
292893,TEC-AMM-RB-005,2026-09-08T16:20:41.223990+00:00,27.7,37.7
292895,TEC-AMM-RD-004,2026-09-08T16:20:41.223990+00:00,26.2,35.1
292889,TEC-AMM-RB-003,2026-09-08T16:20:41.223990+00:00,27.6,37.1
292891,TEC-AMM-RC-004,2026-09-08T16:20:41.223990+00:00,27.7,37.0
292901,TEC-AMM-RF-004,2026-09-08T16:20:41.223990+00:00,22.7,29.1
292897,TEC-AMM-RF-005,2026-09-08T16:20:41.223990+00:00,24.2,32.3
292905,TEC-AMM-RC-006,2026-09-08T16:20:41.223990+00:00,26.4,34.0
292941,TEC-AMM-RD-005,2026-09-08T16:20:41.223990+00:00,8.8,11.6
292943,TEC-AMM-RC-005,2026-09-08T16:20:41.223990+00:00,25.3,33.0
292939,TEC-AMM-RA-001,2026-09-08T16:20:41.223990+00:00,22.0,30.8
292949,TEC-AMM-RA-003,2026-09-08T16:20:41.223990+00:00,20.6,26.2
292951,TEC-AMM-RB-004,2026-09-08T16:20:41.223990+00:00,22.0,30.5
292947,TEC-AMM-RA-004,2026-09-08T16:20:41.223990+00:00,25.8,34.4
292957,TEC-AMM-RC-008,2026-09-08T16:20:41.223990+00:00,22.2,29.7
292973,TEC-AMM-RC-003,2026-09-08T16:20:41.223990+00:00,27.4,37.6
292983,TEC-AMM-RC-007,2026-09-08T16:20:41.223990+00:00,17.7,24.9
292997,TEC-AMM-RF-004,2026-09-08T16:20:41.223990+00:00,25.8,34.2
292999,TEC-AMM-RE-002,2026-09-08T16:20:41.223990+00:00,26.2,34.3
293001,TEC-AMM-RF-006,2026-09-08T16:20:41.223990+00:00,19.0,23.5
293003,TEC-AMM-RB-006,2026-09-08T16:20:41.223990+00:00,28.7,39.6
293469,Leon Ortigosa ABP,2026-09-08T16:20:41.223990+00:00,22.6,31.7
293465,Loma Larga,2026-09-08T16:20:41.223990+00:00,23.0,33.1
293467,UMF37,2026-09-08T16:20:41.223990+00:00,22.2,31.1
33027,Lagos del Bosque,2026-09-08T16:20:41.223990+00:00,11.7,18.0
33117,Liceo de Monterrey,2026-09-08T16:20:41.223990+00:00,22.5,33.9
34441,Callejon de los Ayala,2026-09-08T16:20:41.223990+00:00,4.2,7.0
34499,San Patricio #106,2026-09-08T16:20:41.223990+00:00,0.0,0.0
34511,Rosario,2026-09-08T16:20:41.223990+00:00,13.4,20.6
38663,Rayon Norte,2026-09-08T16:20:41.223990+00:00,14.2,19.1
42211,RF,2026-09-08T16:20:41.223990+00:00,11.0,15.7
305140,Bicla,2026-09-08T16:20:41.223990+00:00,22.7,32.0
305164,NuevaMaderoDave,2026-09-08T16:20:41.223990+00:00,30.8,43.1
305192,11a avenida cumbres 1 sector,2026-09-08T16:20:41.223990+00:00,22.4,30.4
305232,PurpleAir Ancira Mty,2026-09-08T16:20:41.223990+00:00,25.3,34.5
43627,Liceo de Monterrey Rosemont,2026-09-08T16:20:41.223990+00:00,23.6,24.7
45769,Huascaran,2026-09-08T16:20:41.223990+00:00,18.2,25.8
308956,Jardín de las carreras,2026-09-08T16:20:41.223990+00:00,25.1,34.5
49949,El Horizonte,2026-09-08T16:20:41.223990+00:00,22.3,34.6
50555,Treviño,2026-09-08T16:20:41.223990+00:00,0.0,0.0
50871,TEC Garza Laguera,2026-09-08T16:20:41.223990+00:00,11.8,17.2
321194,Ramsesgs,2026-09-08T16:20:41.223990+00:00,23.6,33.2
119937,Grupo Reforma Cumbres,2026-09-08T16:20:41.223990+00:00,11.1,21.2
119965,Grupo Reforma El Norte,2026-09-08T16:20:41.223990+00:00,17.8,25.3
121825,Grupo Reforma Sierra Madre,2026-09-08T16:20:41.223990+00:00,3324.2,3324.2
136522,Bosques de La Pastora,2026-09-08T16:20:41.223990+00:00,19.2,28.6
147010,Santa Barbara,2026-09-08T16:20:41.223990+00:00,14.2,20.0
174781,Colegio Cambridge de Monterrey Campus Mitras,2026-09-08T16:20:41.223990+00:00,20.2,24.7
174787,Colegio Cambridge de Monterrey Campus Norte,2026-09-08T16:20:41.223990+00:00,23.5,29.0
189431,BEA,2026-09-08T16:20:41.223990+00:00,19.7,29.7
189435,Olinalá,2026-09-08T16:20:41.223990+00:00,20.0,32.0
189447,Río Amazonas NO,2026-09-08T16:20:41.223990+00:00,21.6,31.8
189455,CHIPINQUE CAV,2026-09-08T16:20:41.223990+00:00,17.3,27.6
189469,Hospital Zambran Hellion TecSalud,2026-09-08T16:20:41.223990+00:00,19.7,29.9
208785,Colegio Cambridge de Monterrey Campus Anáhuac,2026-09-08T16:20:41.223990+00:00,25.4,32.9
209147,Rincon de San Jeronimo,2026-09-08T16:20:41.223990+00:00,18.5,27.3
227879,Rectoria,2026-09-08T16:20:41.223990+00:00,24.0,32.7
227887,Sensor_Purple_Air-Explanada_EGP-Entrada_Prin,2026-09-08T16:20:41.223990+00:00,13.7,16.9
227889,Parque central,2026-09-08T16:20:41.223990+00:00,23.6,30.6
227907,Estacionamiento Alumnos,2026-09-08T16:20:41.223990+00:00,23.2,31.7
227913,EGADE-Sombrillas,2026-09-08T16:20:41.223990+00:00,22.9,32.5
228003,EGL-Jardín Robótica,2026-09-08T16:20:41.223990+00:00,24.7,34.6
228001,C-MTY Explanada 2,2026-09-08T16:20:41.223990+00:00,30.3,42.3
228383,Estadio Banorte,2026-09-08T16:20:41.223990+00:00,28.5,38.5
228381,C-MTY RAMPA CAFETERÍA,2026-09-08T16:20:41.223990+00:00,22.5,32.0
228389,PEGS-Sensor-Canchas,2026-09-08T16:20:41.223990+00:00,23.7,31.8
228407,CEDES,2026-09-08T16:20:41.223990+00:00,20.0,24.5
278863,Rio Balsas,2026-09-08T16:52:26.035502+00:00,22.2,30.0
278869,Veredalta,2026-09-08T16:52:26.035502+00:00,21.1,28.3
278871,Parroquia Reina de Los Ángeles,2026-09-08T16:52:26.035502+00:00,13.3,21.0
278875,Secretaría de Relaciones Exteriores,2026-09-08T16:52:26.035502+00:00,22.0,30.8
278883,Mater International Institute,2026-09-08T16:52:26.035502+00:00,25.5,36.0
278889,Chipinque Meseta,2026-09-08T16:52:26.035502+00:00,21.5,32.2
278901,OFICINAS SAN PEDRO PARQUES,2026-09-08T16:52:26.035502+00:00,20.8,27.8
278919,Residencia Tabachín,2026-09-08T16:52:26.035502+00:00,18.6,25.4
278929,Rio Caura,2026-09-08T16:52:26.035502+00:00,22.7,31.8
278931,Residencia Platon,2026-09-08T16:52:26.035502+00:00,20.2,27.8
278937,Residencia Saqqara,2026-09-08T16:52:26.035502+00:00,23.3,32.3
278939,Residencia Rio Rosas,2026-09-08T16:52:26.035502+00:00,22.8,30.7
278951,Parque El Capitán,2026-09-08T16:52:26.035502+00:00,23.1,30.7
278957,Los Pinos,2026-09-08T16:52:26.035502+00:00,19.3,27.8
278959,Colegio Nobel,2026-09-08T16:52:26.035502+00:00,21.0,29.6
278955,Residencia San Mateo,2026-09-08T16:52:26.035502+00:00,19.8,26.5
279836,San Roberto International School San Agustin,2026-09-08T16:52:26.035502+00:00,22.5,31.7
279834,Colegio Ingles Campus Encino,2026-09-08T16:52:26.035502+00:00,21.8,29.8
279854,Pinos,2026-09-08T16:52:26.035502+00:00,19.7,23.1
279866,Lomas del Campestre,2026-09-08T16:52:26.035502+00:00,21.6,29.5
279890,María Desatadora de Nudos,2026-09-08T16:52:26.035502+00:00,21.5,29.1
279926,Parque Mississippi,2026-09-08T16:52:26.035502+00:00,22.2,28.8
280524,Privada Paso de la Sierra,2026-09-08T16:52:26.035502+00:00,21.1,27.5
280520,Irish International School Campus First School,2026-09-08T16:52:26.035502+00:00,22.0,29.8
280532,Museo La Milarca,2026-09-08T16:52:26.035502+00:00,21.7,28.4
